URL, SIZE, #OUTLINKS, Content-Type 
https://www.reuters.com/finance/stocks/company-officers/3076.t,123344,145,text/html
https://www.reuters.com/finance/stocks/company-profile/3328.hk,116755,151,text/html
https://www.reuters.com/finance/stocks/overview/603790.ss,120336,144,text/html
https://www.reuters.com/article/us-ocbc-wealth-india-iduskcn1q30n3,192636,65,text/html
https://www.reuters.com/journalists/gary-mcwilliams,132253,149,text/html
https://www.reuters.com/finance/stocks/officer-profile/autoa.l/2595245,116520,145,text/html
https://www.reuters.com/article/us-square-business-iduskcn1pb25w,197145,70,text/html
https://www.reuters.com/finance/stocks/overview/agio.oq,122477,148,text/html
https://www.reuters.com/article/us-food-summit-indonesia-cocoa/indonesia-q1-cocoa-output-to-slump-60-pct-on-heavy-rains-idusbre82d0tf20120314,206534,69,text/html
https://www.reuters.com/article/us-usa-lead-new-york-specialreport/special-report-lead-poisoning-lurks-in-scores-of-new-york-areas-iduskbn1de1gc,252918,72,text/html
https://www.reuters.com/finance/stocks/chart/tnet.n,114799,139,text/html
https://www.reuters.com/article/icici-bank-ceo/indias-icici-bank-names-sandeep-bakhshi-as-ceo-kochhar-to-retire-idusl4n1wk22q,190549,64,text/html
https://www.reuters.com/finance/stocks/company-news/adai.ns,125970,138,text/html
https://www.reuters.com/finance/stocks/officer-profile/bdev.l/2843090,116140,144,text/html
https://www.reuters.com/finance/stocks/overview/600397.ss,119837,144,text/html
https://www.reuters.com/investigates/special-report/assets/soccer-files/soccerfilesball.jpg?v=064317290119,35406,1,image/jpeg
https://www.reuters.com/finance/stocks/company-news/adbk.ns,126442,138,text/html
https://www.reuters.com/news/archive/soccer-brazil?page=1&pagesize=10&view=page,136261,147,text/html
https://www.reuters.com/article/us-usa-military-benning/u-s-army-mobilizes-against-lead-hazards-at-bases-around-globe-iduskcn1lt1ni,212758,75,text/html
https://www.reuters.com/finance/markets/index/.ssec?pn=1&sortby&sortdir,164159,200,text/html
https://www.reuters.com/journalists/joshua-schneyer?page=3&pagesize=10&view=page,131512,151,text/html
https://www.reuters.com/finance/stocks/financial-highlights/aal.l,133748,145,text/html
https://www.reuters.com/article/us-europe-stocks-iduskcn1pw0s5,199478,67,text/html
https://www.reuters.com/article/uk-britain-eu-hunt/uk-will-back-brexit-deal-if-it-excludes-irish-backstop-hunt-says-iduskcn1q30zm,196097,67,text/html
https://www.reuters.com/article/us-soccer-worldcup-col-eng-fans-london/shootout-curse-banished-england-fans-dare-to-dream-iduskbn1jt2zt,199134,66,text/html
https://www.reuters.com/investigates/special-report/assets/oceans-tide-flyingsquid/line4_purple.png?v=130618291018,113199,9,image/png
https://www.reuters.com/sectors/industries/significant?categoryid=204&industrycode=158,141569,175,text/html
https://www.reuters.com/article/usa-lead-map/reuters-finds-3810-u-s-areas-with-lead-poisoning-double-flints-idinkbn1de1hi,199356,67,text/html
https://www.reuters.com/article/abbott-results-ma/abbott-labs-says-ma-not-a-high-priority-now-idusl3n1zn4ku,191002,63,text/html
https://www.reuters.com/finance/stocks/company-news/afl.n,128562,144,text/html
https://www.reuters.com/article/us-usa-military-contractors-specialrepor/special-report-u-s-marine-families-battle-mice-mold-and-landlords-iduskcn1n64ns,257440,69,text/html
https://www.reuters.com/article/us-venezuela-politics-china-iduskcn1q20so,198754,66,text/html
https://www.reuters.com/article/diploma-ceo-idusl3n1zg2hx,192820,63,text/html
https://www.reuters.com/article/uk-soccer-spain-cup-draw/barca-primed-for-gruelling-clasico-cup-tie-idukkcn1pq4tj,198546,67,text/html
https://www.reuters.com/video/2019/02/03/trump-wants-us-military-in-iraq-to-watch?channelname=iran&videochannel=-10209&videoid=510968674,291838,207,text/html
https://www.reuters.com/article/us-food-summit-beam/beam-considers-price-increases-as-economy-recovers-idusbre82c14220120313,200073,69,text/html
https://www.reuters.com/finance/stocks/officer-profile/dcc.l/2941775,115586,146,text/html
https://www.reuters.com/video/2019/02/13/notable-no-shows-at-us-hosted-mid-east-s?videochannel=-10209&videoid=514659973,288590,208,text/html
https://www.reuters.com/article/us-motor-nascar-notebook/nascar-notebook-bowyer-eyeing-strong-performance-at-martinsville-iduskcn1n10w3,207690,65,text/html
https://www.reuters.com/finance/stocks/analyst/afl.n,132162,147,text/html
https://www.reuters.com/finance/stocks/officer-profile/autoa.l/2628277,115104,145,text/html
https://www.reuters.com/article/us-money-investment-esg/unlikely-activists-money-managers-push-for-climate-social-good-iduskcn1n51o3,204287,66,text/html
https://www.reuters.com/finance/stocks/officer-profile/brby.l/2768952,115679,145,text/html
https://www.reuters.com/article/us-soccer-brazil-bruno/signing-convicted-killer-courageous-says-brazilian-soccer-club-president-iduskbn16l2ro,198939,66,text/html
https://www.reuters.com/investigates/special-report/assets/baby-opioids-florida/avery.jpg?v=322416211117,21438,0,image/jpeg
https://www.reuters.com/investigates/special-report/assets/section-leads/usa-military/usa-military-louisiana/home_leadimage.jpg?v=113217070219,65483,0,image/jpeg
https://www.reuters.com/video/2019/02/03/trump-wants-us-military-in-iraq-to-watch?videoid=510960971,273760,193,text/html
https://www.reuters.com/innovative-universities-asia-2018,103042,125,text/html
https://www.reuters.com/finance/stocks/overview/amgo.l,120017,145,text/html
https://www.reuters.com/article/icehockey-nhl-nsh-det/athanasiou-backhander-lifts-red-wings-past-predators-idusmtzxef2duizl1a,206196,64,text/html
https://www.reuters.com/video/2019/02/11/thousands-gather-to-hear-rouhani-speak-o?channelname=iran&videochannel=-10209&videoid=513783378,290447,208,text/html
https://www.reuters.com/article/us-usa-russia-sanctions-germany/german-banks-maneuver-in-washington-to-temper-russia-sanction-risk-iduskcn1px1qy,210920,70,text/html
https://www.reuters.com/sectors/industries/significant?categoryid=216&industrycode=185,141406,181,text/html
https://www.reuters.com/article/us-aerospace-defense-pentagon/pentagon-sees-20-billion-hit-in-2014-if-budget-cuts-hold-idusbre98319h20130905,200582,68,text/html
https://www.reuters.com/finance/stocks/financial-highlights/wg.l,134260,140,text/html
https://www.reuters.com/article/us-soccer-france/soccer-france-far-from-ready-for-world-cup-after-unconvincing-friendlies-iduskbn1h41jr,200794,67,text/html
https://www.reuters.com/finance/stocks/officer-profile/autoa.l/2595232,116431,145,text/html
https://www.reuters.com/finance/stocks/officer-profile/autoa.l/2595230,116166,145,text/html
https://www.reuters.com/finance/stocks/005440.ks/key-developments/article/3914588,112295,139,text/html
https://www.reuters.com/article/us-soccer-brazil-drugs-pele/peles-son-to-serve-drug-related-prison-sentence-lawyer-says-iduskbn16400q,192659,66,text/html
https://www.reuters.com/finance/stocks/overview/600569.ss,120715,144,text/html
https://www.reuters.com/article/us-keepingscore-29nov2018-iduskcn1ny2ve,190744,65,text/html
https://www.reuters.com/article/uk-britain-eu-robbins/uks-chief-brexit-negotiator-says-its-mays-deal-or-extension-itv-iduskcn1q12fw,198674,67,text/html
https://www.reuters.com/video/2019/02/08/ebadi-urges-tougher-action-against-iran?videoid=512726305,290594,206,text/html
https://www.reuters.com/article/us-motor-nascar-kansas-notebook/nascar-notebook-larson-falls-short-iduskcn1mw00b,210517,65,text/html
https://www.reuters.com/article/us-food-summit-generalmills/general-mills-says-weathers-europe-downturn-so-far-idusbre82d12t20120314,200847,68,text/html
https://www.reuters.com/assets/iframe/yovideo?videoid=514159988,5940,1,text/html
https://www.reuters.com/finance/stocks/financial-highlights/trex.n,134697,139,text/html
https://www.reuters.com/sectors/industries/significant?categoryid=200&industrycode=164&pageid=2,151988,197,text/html
https://www.reuters.com/article/us-ibm-divestiture-hcl-techno/in-biggest-indian-it-deal-hcl-tech-to-buy-1-8-billion-of-ibm-software-iduskbn1o52m1,200700,73,text/html
https://www.reuters.com/finance/stocks/tnet.n/key-developments,121382,148,text/html
https://www.reuters.com/article/us-egypt-archaeology-tutankhamun-iduskcn1pp2wm,204513,68,text/html
https://www.reuters.com/finance/stocks/financial-highlights/1721.t,133092,140,text/html
https://www.reuters.com/finance/stocks/adml.l/key-developments/article/3654255,114049,143,text/html
https://www.reuters.com/finance/stocks/overview/601838.ss,120477,145,text/html
https://www.reuters.com/journalists/kevin-yao,131131,149,text/html
https://www.reuters.com/finance/stocks/overview/aep.n,121989,147,text/html
https://www.reuters.com/video/2019/02/14/apple-tech-used-to-put-hacked-apps-on-ip?channelname=reuters%2bnow&videochannel=118262&videoid=514818868,279662,185,text/html
https://www.reuters.com/article/uk-britain-eu-border/border-buster-shows-why-brexit-frontier-checks-in-northern-ireland-would-matter-iduskcn1q30d8,211777,70,text/html
https://www.reuters.com/sectors/industries/overview?industrycode=4,147785,190,text/html
https://www.reuters.com/article/colombia-coal-drummond/colombia-extends-drummond-contract-on-coal-mine-for-20-years-idusl1n1zo27v,192160,63,text/html
https://www.reuters.com/news/archive/entertainmentnews?page=3&pagesize=10&view=page,136304,148,text/html
https://www.reuters.com/investigates/special-report/assets/soccer-files-fairplay-mancity/related_rtr4pgoj.jpg?v=064317290119,2146,0,image/jpeg
https://www.reuters.com/article/us-tesla-executives-factbox/factbox-tesla-executive-departures-since-2016-iduskcn1pp1lt,211349,102,text/html
https://www.reuters.com/news/archive/personalfinance?page=1&pagesize=10&view=page,135210,147,text/html
https://www.reuters.com/finance/stocks/overview/wst.n,121131,145,text/html
https://www.reuters.com/sectors/industries/overview?industrycode=8,147892,191,text/html
https://www.reuters.com/sectors/industries/overview?industrycode=7,148170,191,text/html
https://www.reuters.com/video/2019/02/14/apple-tech-used-to-put-hacked-apps-on-ip?channelname=news%2bagency&videochannel=118261&videoid=514825760,286478,202,text/html
https://www.reuters.com/sectors/industries/significant?categoryid=216&industrycode=183,142948,181,text/html
https://www.reuters.com/finance/stocks/company-officers/600470.ss,135042,156,text/html
https://www.reuters.com/finance/stocks/chart/5852.t,114472,138,text/html
https://www.reuters.com/finance/stocks/lookup?search=mrin.n&searchtype=any,109093,130,text/html
https://www.reuters.com/finance/stocks/chart/bats.l,114830,139,text/html
https://www.reuters.com/finance/stocks/social-pulse/bats.l,117667,146,text/html
https://www.reuters.com/article/us-media-summit-ubisoft/ubisoft-dances-through-holiday-sales-season-idustre7b11sm20111202,197051,66,text/html
https://www.reuters.com/journalists/gabriella-borter,131874,149,text/html
https://www.reuters.com/finance/stocks/officer-profile/adml.l/2538322,116138,145,text/html
https://www.reuters.com/finance/stocks/officer-profile/bats.l/1387425,116457,145,text/html
https://www.reuters.com/finance/stocks/overview/ppl.n,120927,145,text/html
https://www.reuters.com/video/2019/02/11/a-robot-artist-that-could-rival-the-grea?videochannel=6&videoid=513735182,271635,182,text/html
https://www.reuters.com/article/us-aerospace-defense-pentagon-technology/pentagon-arms-chief-aims-to-preserve-rd-weapons-funding-idusbre98401k20130905,204321,72,text/html
https://www.reuters.com/finance/stocks/company-news/anra.ns,126264,138,text/html
https://www.reuters.com/article/lse-chairman/lse-names-experians-donald-robert-as-next-chairman-idusl3n1yj4eb,190835,63,text/html
https://www.reuters.com/sectors/industries/rankings?industrycode=120&view=ownershiptrends,150687,219,text/html
https://www.reuters.com/investigates/special-report/assets/section-leads/usa-military/usa-military-contractors/home_usa-military-contractors-lead.jpg?v=113217070219,59531,0,image/jpeg
https://www.reuters.com/journalists/tim-hepher,131670,150,text/html
https://www.reuters.com/sectors/industries/rankings?industrycode=120&view=stability,153703,220,text/html
https://www.reuters.com/finance/stocks/aan.n/key-developments,122984,148,text/html
https://www.reuters.com/journalists/tom-daly,130773,148,text/html
https://www.reuters.com/news/picture/winter-wonderland-idusrts2c3hu,234236,159,text/html
https://www.reuters.com/finance/stocks/company-officers/zbra.oq,160001,195,text/html
https://www.reuters.com/journalists/manoj-kumar,131904,149,text/html
https://www.reuters.com/video/2019/02/12/catalan-separatists-trial-starts-in-madr?videoid=514159988,286282,205,text/html
https://www.reuters.com/article/us-sailing-sailgp-launch/ellison-and-coutts-launch-league-for-supercharged-cats-iduskcn1md2h9,200333,66,text/html
https://www.reuters.com/video/2019/01/16/food-for-thought-tech-fighting-waste?channelname=sustainable%2bbusiness&videochannel=118285&videoid=504264024,283584,189,text/html
https://www.reuters.com/investigates/special-report/assets/section-leads/usa-uncounted/usa-uncounted-cdc/usa-uncounted-surveillance-home4.jpg?v=332716030717,46237,0,image/jpeg
https://www.reuters.com/video/2019/02/14/no-deal-brexit-stirs-fears-of-violence-i?channelname=reuters%2bnow&videochannel=118262&videoid=514812798,280206,188,text/html
https://www.reuters.com/article/awards-grammys/cardi-b-goes-for-first-grammy-win-ariana-grande-drake-among-no-shows-idinkcn1pz0a0,202582,67,text/html
https://www.reuters.com/video/2019/02/13/notable-no-shows-at-us-hosted-mid-east-s?videoid=514659973,282207,193,text/html
https://www.reuters.com/investigates/static/4-0-0/en/images/reuters-investigates.png?v=333416030119,12607,0,image/png
https://www.reuters.com/finance/stocks/social-pulse/bdev.l,117965,145,text/html
https://www.reuters.com/finance/stocks/financial-highlights/0101.hk,133277,140,text/html
https://www.reuters.com/article/us-soccer-france-marseille-investment/uae-based-banker-eyes-300-million-euro-investment-in-marseille-iduskcn0zh4jw,196675,67,text/html
https://www.reuters.com/video/2018/12/02/israeli-police-seek-new-charges-against?newschannel&videoid=487721281,282194,192,text/html
https://www.reuters.com/finance/stocks/overview/adm.n,126160,155,text/html
https://www.reuters.com/video/2019/02/12/electronic-arts-new-game-challenges-fort?videoid=513988234,274291,195,text/html
https://www.reuters.com/article/us-people-ashley-judd-weinstein/u-s-judge-dismisses-ashley-judds-sex-harassment-claim-against-weinstein-iduskcn1p4049,201361,68,text/html
https://www.reuters.com/finance/stocks/officer-profile/dcc.l/2597637,116672,146,text/html
https://www.reuters.com/sectors/industries/rankings?industrycode=120&page=1&sortby=mktcap&sortdir=asc&view=size,153809,221,text/html
https://www.reuters.com/video/2019/02/06/snaps-numbers-give-investors-reason-to-c?newschannel&videoid=511737329,295329,218,text/html
https://www.reuters.com/article/us-venezuela-politics-russia-debt-iduskcn1q315c,195058,67,text/html
https://www.reuters.com/article/us-russia-qatar/qatari-stake-in-rosneft-paves-way-for-global-energy-deals-doha-envoy-iduskcn1q1191,204329,69,text/html
https://www.reuters.com/article/china-mengniu-results/dairy-firm-china-mengniu-says-h1-profit-rises-nearly-40-pct-idusl3n1vl07o,195891,63,text/html
https://www.reuters.com/investigates/special-report/assets/section-leads/reuters-investigates-2014/russia/comrade-capitalism-home.jpg?v=293316030119,49360,0,image/jpeg
https://www.reuters.com/finance/stocks/officer-profile/bdev.l/2698185,116563,145,text/html
https://www.reuters.com/finance/stocks/chart/3076.t,114331,139,text/html
https://www.reuters.com/finance/stocks/analyst-research/aan.n,119952,145,text/html
https://www.reuters.com/finance/stocks/analyst/bp.l,132285,147,text/html
