19/03/16 18:48:12 INFO client.RMProxy: Connecting to ResourceManager at cluster-a652-m/10.138.0.5:8032
19/03/16 18:48:13 INFO client.AHSProxy: Connecting to Application History server at cluster-a652-m/10.138.0.5:10200
19/03/16 18:48:14 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
19/03/16 18:48:15 INFO input.FileInputFormat: Total input files to process : 74
19/03/16 18:48:15 INFO mapreduce.JobSubmitter: number of splits:74
19/03/16 18:48:15 INFO Configuration.deprecation: yarn.resourcemanager.system-metrics-publisher.enabled is deprecated. Instead, use yarn.system-metrics-publisher.enabled
19/03/16 18:48:15 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1552712881446_0002
19/03/16 18:48:15 INFO impl.YarnClientImpl: Submitted application application_1552712881446_0002
19/03/16 18:48:15 INFO mapreduce.Job: The url to track the job: http://cluster-a652-m:8088/proxy/application_1552712881446_0002/
19/03/16 18:48:15 INFO mapreduce.Job: Running job: job_1552712881446_0002
19/03/16 18:48:24 INFO mapreduce.Job: Job job_1552712881446_0002 running in uber mode : false
19/03/16 18:48:24 INFO mapreduce.Job:  map 0% reduce 0%
19/03/16 18:48:44 INFO mapreduce.Job:  map 2% reduce 0%
19/03/16 18:48:47 INFO mapreduce.Job:  map 5% reduce 0%
19/03/16 18:48:53 INFO mapreduce.Job:  map 7% reduce 0%
19/03/16 18:49:14 INFO mapreduce.Job:  map 8% reduce 0%
19/03/16 18:49:31 INFO mapreduce.Job:  map 9% reduce 0%
19/03/16 18:49:34 INFO mapreduce.Job:  map 10% reduce 0%
19/03/16 18:49:35 INFO mapreduce.Job:  map 11% reduce 0%
19/03/16 18:49:41 INFO mapreduce.Job:  map 12% reduce 0%
19/03/16 18:49:58 INFO mapreduce.Job:  map 13% reduce 0%
19/03/16 18:49:59 INFO mapreduce.Job:  map 14% reduce 0%
19/03/16 18:50:01 INFO mapreduce.Job:  map 16% reduce 0%
19/03/16 18:50:04 INFO mapreduce.Job:  map 17% reduce 0%
19/03/16 18:50:08 INFO mapreduce.Job:  map 18% reduce 0%
19/03/16 18:50:16 INFO mapreduce.Job:  map 19% reduce 0%
19/03/16 18:50:17 INFO mapreduce.Job:  map 20% reduce 0%
19/03/16 18:50:29 INFO mapreduce.Job:  map 21% reduce 0%
19/03/16 18:50:42 INFO mapreduce.Job:  map 22% reduce 0%
19/03/16 18:50:48 INFO mapreduce.Job:  map 23% reduce 0%
19/03/16 18:50:51 INFO mapreduce.Job:  map 24% reduce 0%
19/03/16 18:50:59 INFO mapreduce.Job:  map 25% reduce 0%
19/03/16 18:51:00 INFO mapreduce.Job:  map 26% reduce 0%
19/03/16 18:51:10 INFO mapreduce.Job:  map 28% reduce 0%
19/03/16 18:51:11 INFO mapreduce.Job:  map 29% reduce 0%
19/03/16 18:51:13 INFO mapreduce.Job:  map 30% reduce 0%
19/03/16 18:51:14 INFO mapreduce.Job:  map 31% reduce 0%
19/03/16 18:51:34 INFO mapreduce.Job:  map 32% reduce 0%
19/03/16 18:51:42 INFO mapreduce.Job:  map 33% reduce 0%
19/03/16 18:51:50 INFO mapreduce.Job:  map 34% reduce 0%
19/03/16 18:51:54 INFO mapreduce.Job:  map 35% reduce 0%
19/03/16 18:51:57 INFO mapreduce.Job:  map 36% reduce 0%
19/03/16 18:52:06 INFO mapreduce.Job:  map 37% reduce 0%
19/03/16 18:52:15 INFO mapreduce.Job:  map 39% reduce 0%
19/03/16 18:52:16 INFO mapreduce.Job:  map 40% reduce 0%
19/03/16 18:52:19 INFO mapreduce.Job:  map 41% reduce 0%
19/03/16 18:52:20 INFO mapreduce.Job:  map 42% reduce 0%
19/03/16 18:52:24 INFO mapreduce.Job:  map 43% reduce 0%
19/03/16 18:52:38 INFO mapreduce.Job:  map 44% reduce 0%
19/03/16 18:52:39 INFO mapreduce.Job:  map 45% reduce 0%
19/03/16 18:52:52 INFO mapreduce.Job:  map 46% reduce 0%
19/03/16 18:52:57 INFO mapreduce.Job:  map 47% reduce 0%
19/03/16 18:53:01 INFO mapreduce.Job:  map 48% reduce 0%
19/03/16 18:53:02 INFO mapreduce.Job:  map 49% reduce 0%
19/03/16 18:53:15 INFO mapreduce.Job:  map 50% reduce 0%
19/03/16 18:53:19 INFO mapreduce.Job:  map 52% reduce 0%
19/03/16 18:53:23 INFO mapreduce.Job:  map 54% reduce 0%
19/03/16 18:53:25 INFO mapreduce.Job:  map 55% reduce 0%
19/03/16 18:53:41 INFO mapreduce.Job:  map 56% reduce 0%
19/03/16 18:53:43 INFO mapreduce.Job:  map 57% reduce 0%
19/03/16 18:53:45 INFO mapreduce.Job:  map 58% reduce 0%
19/03/16 18:53:59 INFO mapreduce.Job:  map 59% reduce 0%
19/03/16 18:54:01 INFO mapreduce.Job:  map 60% reduce 0%
19/03/16 18:54:06 INFO mapreduce.Job:  map 61% reduce 0%
19/03/16 18:54:18 INFO mapreduce.Job:  map 62% reduce 0%
19/03/16 18:54:20 INFO mapreduce.Job:  map 63% reduce 0%
19/03/16 18:54:24 INFO mapreduce.Job:  map 64% reduce 0%
19/03/16 18:54:26 INFO mapreduce.Job:  map 66% reduce 0%
19/03/16 18:54:27 INFO mapreduce.Job:  map 67% reduce 0%
19/03/16 18:54:29 INFO mapreduce.Job:  map 68% reduce 0%
19/03/16 18:54:44 INFO mapreduce.Job:  map 70% reduce 0%
19/03/16 18:55:00 INFO mapreduce.Job:  map 71% reduce 0%
19/03/16 18:55:05 INFO mapreduce.Job:  map 72% reduce 0%
19/03/16 18:55:08 INFO mapreduce.Job:  map 73% reduce 0%
19/03/16 18:55:14 INFO mapreduce.Job:  map 74% reduce 0%
19/03/16 18:55:21 INFO mapreduce.Job:  map 76% reduce 0%
19/03/16 18:55:25 INFO mapreduce.Job:  map 77% reduce 0%
19/03/16 18:55:29 INFO mapreduce.Job:  map 78% reduce 0%
19/03/16 18:55:31 INFO mapreduce.Job:  map 80% reduce 0%
19/03/16 18:55:43 INFO mapreduce.Job:  map 81% reduce 0%
19/03/16 18:55:46 INFO mapreduce.Job:  map 82% reduce 0%
